FIPSCode,LocationType,Location,GradeLevel,StudentResponse,TimeFrame,DataFormat,Data
06101,County,Sutter County,Grade 7,Yes,2015_2017,Percent,4.7
06101,County,Sutter County,Grade 9,No,2015_2017,Percent,96.0
06101,County,Sutter County,Grade 9,Yes,2015_2017,Percent,4.0
06101,County,Sutter County,Grade 11,No,2015_2017,Percent,93.8
06101,County,Sutter County,Grade 11,Yes,2015_2017,Percent,6.2
06101,County,Sutter County,Non_Traditional,No,2015_2017,Percent,S
06101,County,Sutter County,Non_Traditional,Yes,2015_2017,Percent,S
06103,County,Tehama County,Grade 7,No,2015_2017,Percent,98.5
06103,County,Tehama County,Grade 7,Yes,2015_2017,Percent,1.5
06103,County,Tehama County,Grade 9,No,2015_2017,Percent,96.5
06103,County,Tehama County,Grade 9,Yes,2015_2017,Percent,3.5
06103,County,Tehama County,Grade 11,No,2015_2017,Percent,94.4
06103,County,Tehama County,Grade 11,Yes,2015_2017,Percent,5.6
06103,County,Tehama County,Non_Traditional,No,2015_2017,Percent,91.4
06103,County,Tehama County,Non_Traditional,Yes,2015_2017,Percent,8.6
06105,County,Trinity County,Grade 7,No,2015_2017,Percent,90.5
06105,County,Trinity County,Grade 7,Yes,2015_2017,Percent,9.5
06105,County,Trinity County,Grade 9,No,2015_2017,Percent,91.1
06105,County,Trinity County,Grade 9,Yes,2015_2017,Percent,8.9
06105,County,Trinity County,Grade 11,No,2015_2017,Percent,90.2
06105,County,Trinity County,Grade 11,Yes,2015_2017,Percent,9.8
06105,County,Trinity County,Non_Traditional,No,2015_2017,Percent,N_A
06105,County,Trinity County,Non_Traditional,Yes,2015_2017,Percent,N_A
06107,County,Tulare County,Grade 7,No,2015_2017,Percent,96.9
06107,County,Tulare County,Grade 7,Yes,2015_2017,Percent,3.1
06107,County,Tulare County,Grade 9,No,2015_2017,Percent,96.0
06107,County,Tulare County,Grade 9,Yes,2015_2017,Percent,4.0
06107,County,Tulare County,Grade 11,No,2015_2017,Percent,96.6
06107,County,Tulare County,Grade 11,Yes,2015_2017,Percent,3.4
06107,County,Tulare County,Non_Traditional,No,2015_2017,Percent,S
06107,County,Tulare County,Non_Traditional,Yes,2015_2017,Percent,S
06109,County,Tuolumne County,Grade 7,No,2015_2017,Percent,95.8
06109,County,Tuolumne County,Grade 7,Yes,2015_2017,Percent,4.2
06109,County,Tuolumne County,Grade 9,No,2015_2017,Percent,93.7
06109,County,Tuolumne County,Grade 9,Yes,2015_2017,Percent,6.3
06109,County,Tuolumne County,Grade 11,No,2015_2017,Percent,92.3
06109,County,Tuolumne County,Grade 11,Yes,2015_2017,Percent,7.7
06109,County,Tuolumne County,Non_Traditional,No,2015_2017,Percent,S
06109,County,Tuolumne County,Non_Traditional,Yes,2015_2017,Percent,S
06111,County,Ventura County,Grade 7,No,2015_2017,Percent,94.8
06111,County,Ventura County,Grade 7,Yes,2015_2017,Percent,5.2
06111,County,Ventura County,Grade 9,No,2015_2017,Percent,95.1
06111,County,Ventura County,Grade 9,Yes,2015_2017,Percent,4.9
06111,County,Ventura County,Grade 11,No,2015_2017,Percent,94.3
06111,County,Ventura County,Grade 11,Yes,2015_2017,Percent,5.7
06111,County,Ventura County,Non_Traditional,No,2015_2017,Percent,89.6
06111,County,Ventura County,Non_Traditional,Yes,2015_2017,Percent,10.4
06113,County,Yolo County,Grade 7,No,2015_2017,Percent,97.0
06113,County,Yolo County,Grade 7,Yes,2015_2017,Percent,3.0
06113,County,Yolo County,Grade 9,No,2015_2017,Percent,92.8
06113,County,Yolo County,Grade 9,Yes,2015_2017,Percent,7.2
06113,County,Yolo County,Grade 11,No,2015_2017,Percent,96.0
06113,County,Yolo County,Grade 11,Yes,2015_2017,Percent,4.0
06113,County,Yolo County,Non_Traditional,No,2015_2017,Percent,92.8
06113,County,Yolo County,Non_Traditional,Yes,2015_2017,Percent,7.2
06115,County,Yuba County,Grade 7,No,2015_2017,Percent,95.2
06115,County,Yuba County,Grade 7,Yes,2015_2017,Percent,4.8
06115,County,Yuba County,Grade 9,No,2015_2017,Percent,92.2
06115,County,Yuba County,Grade 9,Yes,2015_2017,Percent,7.8
06115,County,Yuba County,Grade 11,No,2015_2017,Percent,90.2
06115,County,Yuba County,Grade 11,Yes,2015_2017,Percent,9.8
06115,County,Yuba County,Non_Traditional,No,2015_2017,Percent,S
06115,County,Yuba County,Non_Traditional,Yes,2015_2017,Percent,S

